"HB Weapons","Name","Specialisation","Dmg","Range","Mag","Enc","Cost","Avail","Traits","Description","Page"
"Steadholder Lever Gun","Steadholder Lever Gun","Long Guns",6,"Long",6,2,"300 (100)","Rare","Loud, Two-Handed",,"E-AI 20"
"Stub Auto","Stub Auto","Long Guns",5,"Medium",3,1,"500 (25)","Scarce","Loud, Rapid Fire (3), Two-Handed","While many within the Imperium utilize autoguns and autopistols, some don’t have enough money for the former, and more than enough for the latter, and settle for stub autos, which merge the better qualities of each one.","E-AI 20"
"Tranter Hand Cannon","Tranter Hand Cannon","Pistols",8,"Medium",2,2,"800 (40)","Scarce","Burst, Heavy (4), Loud, Unstable","These massive gas-operated stub automatics, sometimes mockingly referred to as a “poor man’s bolter”, are undoubtedly powerful but often plagued with mechanical problems and notoriously prone to jamming. This does little to alter their appeal, though, with those who like their weapons hugely menacing and capable of taking a man’s head clean off in one shot. Underhive and heretek workshops, from the bowels of Infernis to the rookeries of Solomon, produce Tranter knockoffs for eager buyers, while the Belasco Deathworks production models are actually little better in terms of reliability.","E-AI 20"
"Vox Legi Combat Shotgun","Vox Legi Combat Shotgun","Long Guns",8,"Medium",12,2,"800 (20)","Rare","Inflict (Prone), Loud, Reliable, Spread, Two-Handed","The primary weapon of the Arbites is the combat shotgun. It is valued for its stopping power, simplicity, reliability, and for its ability to intimidate. Even the most dusty ancient Judge haunting the Halls of Judgement on Terra will have cut their teeth on the brutally effective shotgun drills that form the foundation of all Arbites combat training.","E-AI 20"
"Arquebus","Arquebus","Long Guns",5,"Medium",1,2,"100 (10)","Scarce","Heavy (4), Inflict (Prone), Loud, Low-Tech","A weapon that exemplifies the brute force approach of most black powder weapons, the arquebus is the most common firearm found on certain feudal worlds. It can knock a man in full plate of his feet with a single shot, but the recoil, smoke, and reload time make the weapon impractical in the heat of melee fighting.","E-AI 23"
"Blowgun","Blowgun","Long Guns",6,"Extreme",1,0,"10 (5)","Common","Accurate, Inaccurate, Inflict (Poisoned), Low-Tech","A blowgun is a simple ranged weapon consisting of a narrow, long tube designed for firing light projectiles or darts. You attack with the gun by inserting a needle inside the pipe, then blowing sharply into one end to shoot the projectile out the opposite side. Unlike most ammunition weapons, a blowgun can be both loaded and fired using only one hand instead of two. The listed profile is loaded with Poisoned darts, as the blowgun is generally ineffective without it.","E-AI 23"
"Blunderbuss","Blunderbuss","Long Guns",9,"Short",1,3,"100 (50)","Common","Loud, Inaccurate, Low-Tech, Spread, Two-Handed, Unstable","A common primitive form of the black powder weapon is the blunderbuss. Essentially a large metal tube equipped with a primitive firing mechanism, these weapons are favored for their ease of use and the havoc that they cause more than the damage they deal.","E-AI 23"
"Bolas","Bolas","Thrown",7,"Medium",1,2,20,"Common","Inflict (Restrained), Subtle, Thrown (Medium)","An ancient weapon often seen with hive city bounty hunters and feral worlders alike, bolas have swirling weights at the ends of ropes or wires to entangle a target and often knock him to the ground. Once wrapped up, the foe is easily dispatched or further bound for transport and delivery.","E-AI 23"
"Bow","Bow","Long Guns",4,"Long",1,0,"10 (5)","Common","Low-Tech, Reliable, Two-Handed","Though bows come in a multitude of shapes and are made from a wide variety of materials, their basic form and function has changed little throughout the millennia. Even where the Mechanicum may be ascendant, a well-placed and silent arrow can be just as effective as a revered boltgun. A bow always requires both hands to use.","E-AI 23"
"Crossbow","Crossbow","Long Guns",6,"Long",1,2,"20 (8)","Common","Low-Tech, Two-Handed","Crossbows are more compact than regular bows, but require additional mechanical fittings and usually have a shorter range.","E-AI 23"
"Drive Nailer","Drive Nailer","Pistols",4,"Medium",3,0,"100 (10)","Common","Burst, Close","One of the first weapons to appear in the hands of heretics in a hive uprising, the drive nailer is simply a high-power nail or rivet-driving gun of the type common to the millions who toil in hive construction and reclamation crews across the Imperium. With its power setting turned up to maximum and its safety features disabled, the drive nailer can make a messy but effective weapon.","E-AI 23"
"Flintlock Pistol","Flintlock Pistol","Pistols",7,"Short",1,1,"150 (15)","Common","Close, Inaccurate, Loud, Low-Tech","Exceptionally basic in both construction and operation, flintlocks are surprisingly common throughout the Imperium due the level of prestige attached to them. Finely-crafted flintlocks pass through generations as heirlooms, and some fetch enormous prices among high nobles and Rogue Traders alike.","E-AI 23"
"Heavy Crossbow","Heavy Crossbow","Long Guns",6,"Long",1,2,"100 (10)","Common","Inflict (Prone), Low-Tech, Two-Handed","Crossbows are more compact than regular bows, but require additional mechanical fittings and usually have a shorter range.","E-AI 23"
"Impaler","Impaler","Ordnance",10,"Long",1,3,"400 (20)","Scarce","Heavy (4), Loud, Penetrating (2), Two-Handed","Carried by the most slab-muscled of gang heavies and other degenerate scum, Impalers (also known as the “harpoon cannon”), as primitive as they are, can still launch a spear of metal capable of punching straight through a human body with ease. Usually made by desperate and ill-equipped hive or mutant gangs from discarded industrial springs and high- tensile cable, the harpoons used are often little more than a length of metal piping with its tip ground to a wicked point. Up-hive gunslingers and enforcers may scoff at the crudity of these weapons but sometimes find that it is much harder to laugh when pinned to a wall by a meter-long spear.","E-AI 23"
"Musket","Musket","Long Guns",7,"Medium",1,2,"200 (20)","Scarce","Loud, Inaccurate, Low-Tech","An improvement on the arquebus, the musket suffers fewer drawbacks with recoil and reload, making it an ideal weapon for ranks of feudal soldiers. A musket counts as a staff when used in melee combat.","E-AI 23"
"Scrap Cannon","Scrap Cannon","Ordnance",8,"Long",1,3,"400 (20)","Scarce","Heavy (4), Loud, Spread, Two-Handed","For underhive gangs who cannot steal or buy more effective heavy armament, the best they can bring to a turf war is a scrap cannon. Made from a crudely reinforced length of pipe packed with black powder and rammed with nails, bolts, and anything else nasty scraped from the underhive floor. Scrap cannons are hugely unwieldy and not very lethal. However, they look scary and make an impressively enormous bang and pyrotechnic blast when fired, added to which the ammo is more or less free!","E-AI 23"
"Condemor Boltgun 'Moxy Pattern'","Condemor Boltgun 'Moxy Pattern'","Long Guns",8,"Long",4,3,"10,000 (800)","Exotic","Combi (Condemnor), Loud, Penetrating (4), Rapid Fire (2), Spread, Two-Handed","A Bolter with a Stake Crossbow strapped to the side, useful against psykers. Used almost only by the Ordo Hereticus and Sisters of Battle. This Combi-Weapons primary weapon is a Boltgun and the secondary weapon is the Condemnor Crossbow, which has the following profile: 8 Damage, Extreme Range, 1 Mag, Accurate, Loud, Penetrating (2), Reliable, Sanctified, Two-Handed. The Condemnor Crossbow may use any Crossbow Custom Ammunition","E-AI 25"
"Digi-Las 'Moxy Pattern'","Digi-Las 'Moxy Pattern'","Pistols",5,"Medium",1,0,"1,000,000","Exotic","Burst, Close, Digitized, Loud, Reliable","Impossibly advanced, the digi-weapons of the enigmatic Jokaero slip easily onto a user’s fingers like rings and fire either with a simple press of a button or by squeezing the band. The weapons themselves vary immensely and never seem to completely run out of ammunition, a facet of their design that remains a mystery to the Adeptus Mechanicus. The Weapons Table on the next page lists the most common digi-weapon, which incorporates the profile of a laspistol. Other digi-weapon types can include ones incorporating the profile of a flamer, grav pistol, inferno pistol, needle pistol, plasma pistol, or others at the GM’s discretion, by applying the Digitized weapon trait. It is easier to acquire a Digi-Weapon rather than digitizing a weapon, and no Endeavors are required to acquire one unless ordered at the GM’s discretion, unlike the Digital Weapon Weapon Upgrade.","E-AI 25"
"Grav Cannon 'Moxy Pattern'","Grav Cannon 'Moxy Pattern'","Ordnance",12,"Long",8,4,"20,000 (1,000)","Exotic","Burst, Grav, Inflict (Restrained), Loud, Penetrating (6), Spread, Two-Handed","These exceedingly rare relics from the Dark Age of Technology are sacred devices jealously guarded by the Adeptus Mechanicus, who very rarely allow one outside of their armouries. Each fires arcane particles that disrupt the gravimetric fields surrounding the target, using the victim’s own armoured mass against him. The terrible, crushing force of the unnatural energies reduces targets to ruptured hulls and crumpled armoured forms. Most common are graviton guns, though grav pistols and grav combi- weapons can also be found in elite warbands and Mechanicum tech-heresy capture units.","E-AI 25"
"Grav Gun 'Moxy Pattern'","Grav Gun 'Moxy Pattern'","Long Guns",10,"Medium",6,2,"15,000 (800)","Exotic","Burst, Grav, Inflict (Restrained), Loud, Penetrating (6), Spread, Two-Handed","These exceedingly rare relics from the Dark Age of Technology are sacred devices jealously guarded by the Adeptus Mechanicus, who very rarely allow one outside of their armouries. Each fires arcane particles that disrupt the gravimetric fields surrounding the target, using the victim’s own armoured mass against him. The terrible, crushing force of the unnatural energies reduces targets to ruptured hulls and crumpled armoured forms. Most common are graviton guns, though grav pistols and grav combi- weapons can also be found in elite warbands and Mechanicum tech-heresy capture units.","E-AI 25"
"Grav Pistol 'Moxy Pattern'","Grav Pistol 'Moxy Pattern'","Pistols",9,"Short",4,1,"10,000 (500)","Exotic","Close, Grav, Inflict (Restrained), Loud, Penetrating (4), Two-Handed","These exceedingly rare relics from the Dark Age of Technology are sacred devices jealously guarded by the Adeptus Mechanicus, who very rarely allow one outside of their armouries. Each fires arcane particles that disrupt the gravimetric fields surrounding the target, using the victim’s own armoured mass against him. The terrible, crushing force of the unnatural energies reduces targets to ruptured hulls and crumpled armoured forms. Most common are graviton guns, though grav pistols and grav combi- weapons can also be found in elite warbands and Mechanicum tech-heresy capture units.","E-AI 25"
"Heavy Webber 'Moxy Pattern'","Heavy Webber 'Moxy Pattern'","Ordnance","--","Long",4,3,"2,000 (200)","Rare","Inflict (Restrained), Two-Handed","The advanced design for this heavy webber is held by the Adeptus Mechanicus of the Lathe System and the weapons themselves are produced only under granted license by the Hax-Orthlack manufactorums on the sector capital world of Scintilla. Standard issue for Adeptus Arbites capture units across the Calixis Sector and carried in the armories of the better- equipped local law enforcement units, such as the Magistratum of Scintilla, the weapon takes the form of a heavy, wide-barreled projector fed from a large canister worn on the user’s back. The weapon’s use is often reserved for when large numbers of targets are to be taken alive for interrogation or when important bystanders are caught in the line of fire.","E-AI 25"
"Hellrifle 'Moxy Pattern'","Hellrifle 'Moxy Pattern'","Long Guns",8,"Extreme","--",2,100,"Exotic","Loud, Penetrating (4), Two-Handed","Extremely effective weapons frowned upon by more Puritanical Inquisitors, hellrifles are intricate weapons that fire impossibly sharp shards of an unknown material. Speculated to be daemonic in origin, the true nature of this ammunition remains a mystery to the Adeptus Mechanicus, who have yet to recover even a single example for study. The Hellrifle ignores the armor roll for Daemons from the Daemonic trait, like Sanctified weapons, but does not deal Holy damage.","E-AI 25"
"Integration Cannon","Integration Cannon","Ordnance",12,"Long",6,4,"18,000 (950)","Exotic","Blast, Inaccurate, Penetrating (6), Two-Handed","An eccentric design of the Forge World Core Theta in the As kellon Sector, the cannon uses the principals of graviton weaponry, but with a wildly different effect. It projects a pulsing orb of gravitic energy that shatters on contact. A second later, the rapid mass increase draws anything nearby towards the center, crushing it in a gruesome manner. After being fired, the cannon creates a gravitic anomaly within the Zone it detonates in that persists for 1d5 rounds. Whenever a character begins their turn in this area, they must make a Hard (-20) Athletics (Might) or Reflexes (Dodge) test. If they fail, they are Immobilized until the end of their turn and suffer a single automatic hit to a randomly determined location for 12 damage with the Penetrating (4) Quality.","E-AI 25"
"Argent Globe","Argent Globe","Thrown",6,"Medium","--",1,2,"Rare","Blast, Loud, Sanctified, Unstable","Ordo Malleus agents often use these perfect spheres of gleaming silver against groups of daemonic foes. Against mortal targets the sudden blast of Truesilver filaments wounds like a frag grenade, but against Warpspawn the consecrated blast leaves even the mightiest Daemon smouldering in agony.","E-AI 27"
"Distraction Charge","Distraction Charge","Engineering","--","--","--",0,60,"Scarce","Blast*, Inflict (Stunned), Loud, Unstable","The Distraction Charge is a type of Imperial Guard explosive charge. Packed with stunshot and smoke canisters, they are used to disrupt attacking troops while the Scions maneuver to another position. Distraction Charges make the zone Heavily Obscured for three rounds. This duration can be extended or shortened depending on the ventilation, such as enclosed spaces or strong winds.","E-AI 27"
"Haywire Grenade 'Moxy Pattern'","Haywire Grenade 'Moxy Pattern'","Thrown, Ordnance","--","Medium","--",0,200,"Rare","Haywire (2), Loud, Thrown (Medium), Unstable","Haywire grenades ignore the flesh and instead seek to injure machine spirits and technological devices through a shower of harmful electromagnetic radiation. Machines that suffer such indignities are often crippled, leaving their users helpless against attacking foes.","E-AI 27"
"Hopper Mine","Hopper Mine","Engineering",8,"--","--",0,50,"Scarce","Blast, Loud, Unstable","Used to devastating effect on massed infantry formations or tight-packed hordes of xenos, they appear to be little more than a discarded heavy bolter shell or other roughly cylindrical pieces of detritus. Typically hidden in piles of debris along heavily traveled routes, they are equipped with sensitive bio- monitors that can sense even the weakest bio-signs within Immediate Range Once a bio-sign has been detected, a small shaped charge propels the hopper roughly two meters into the air where it detonates, spraying an area five meters (roughly a zone) across with lethal shrapnel.","E-AI 27"
"Iron-Eater Grenade","Iron-Eater Grenade","Thrown, Ordnance",6,"Medium","--",0,175,"Rare","Blast, Loud, Rend (4), Thrown (Medium), Unstable","The rare iron-eater grenade houses an incredibly caustic acid, powerful enough to eat through even hardened plasteel in moments. Due to the potency of the acid, no readily available material is strong enough to feasibly house it in the form of a grenade. As such, the iron-eater grenade incorporates a weak grav-generator, which pushes against the acid from all sides, holding it scant millimetres from the grenade casing. Once primed, the user of the grenade has exactly three seconds before the grav-field shuts down, releasing the deadly contents. While very effective when properly employed, the use of an iron- eater grenade requires exact timing. Combined with the relative rarity of the grenade’s components, this difficulty ensures that iron-eaters are seldom employed outside of a few regiments that particularly favour them, such as the Savlar Chem-Dogs and the Ornite Skinners.","E-AI 27"
"Nail Bomb","Nail Bomb","Thrown, Ordnance",6,"Medium","--",0,20,"Common","Blast, Loud, Thrown (Medium), Unstable","The confines and dense crowds of a hive make weapons such as frag grenades perfectly suited to sowing terror and destruction there. For this reason, anti-personnel devices are usually heavily proscribed, but that doesn’t stop the more inventive criminal scum from fashioning their own. The nail bomb presented here is an explosive charge packed around with rusted nails, metal spoil, crushed glass, and other assorted nastiness, all packed into a convenient length of pipe or an old food canister and fitted with a home- made fuse that hopefully is reliable enough not to kill the user.","E-AI 27"
"Psyk-Out Grenade 'Moxy Pattern'","Psyk-Out Grenade 'Moxy Pattern'","Thrown",6,"Medium","--",0,500,"Rare","Blast, Loud, Thrown (Medium), Unstable","These grenades disperse a cloud of psi-refractive particles thought to have been created as a by-product of the processes that sustain the Astronomican, and disrupt a psyker’s connection to the Warp. Any Psyker caught within the grenade's blast radius must make a Very Hard (-30) Discipline (Psychic) Test. If the Psyker fails, they cast Psychic Powers with Disadvantage for 1d5 rounds. If they fail by -4SL or worse, they lose the ability to cast Psychic Powers for 1d5 rounds.","E-AI 27"
"Chainblade 'Moxy Pattern'","Chainblade 'Moxy Pattern'","One-Handed","2+StrB","--","--",0,400,"Scarce","Loud, Rend (2)","Chainblades are one of the smallest chain weapons, little more than a knife with a tiny chain around its edge. The size is deceptive, for the extra tearing the chain provides makes it much more effective than any ordinary dagger.","E-AI 29"
"Chain Cutlass","Chain Cutlass","One-Handed","3+StrB","--","--",1,550,"Scarce","Loud, Rend (2)","These short-bladed, curved chainswords are favored by armsmen crew chiefs for their brutality. Their shorter length makes them easier to wield in the close confines of a starship corridor, while their more compact design conceals two parallel rows of teeth, allowing it to deal greater damage than its size might otherwise suggest, at the cost of poorly distributed balance.","E-AI 29"
"Chainglaive 'Moxy Pattern'","Chainglaive 'Moxy Pattern'","Two-Handed","4+StrB","--","--",2,700,"Rare","Heavy (4), Loud, Rend (3), Two-Handed","Most often wielded by Rough Rider formations, chainglaives are vicious weapons that combine the reach of a pole weapon with the gnashing fury of a chain weapon, distinguishing themselves from chainspears by incorporating much stronger motors and even more penetrative teeth. These weapons come in a startling variety based on the sundry forge worlds and eras in which they were manufactured, with various forms mimicking polearms, scythes, and halberds. All are extremely deadly.","E-AI 29"
"Chain Greataxe","Chain Greataxe","Two-Handed","5+StrB","--","--",3,1,"Rare","Heavy (4), Loud, Rend (4), Two-Handed","Huge in size and weight, only the unnaturally strong or fanatical commonly brandish this weapon. Most feature a double-sided chassis housing two independently mounted chain assemblies, designed to be swung in wide swathes. Such is the power of this fearsome weapon that little can stand against it, and enemies fall apart like kindling when struck.","E-AI 29"
"Chain Greatsword","Chain Greatsword","Two-Handed","5+StrB","--","--",2,1.2,"Rare","Heavy (4), Loud, Rend (3), Two-Handed","This huge two-handed weapon can run almost two meters in length, with a long grip and weighted pommel to allow for some semblance of balance in use. The chained teeth are exposed along the entire length so that the user can swing it in both directions in combat more like a flail than a real sword.","E-AI 29"
"Chainhammer","Chainhammer","Two-Handed","5+StrB","--","--",3,1.6,"Rare","Heavy (4), Loud, Rend (4), Two-Handed","Few but Ogryn brutes can lift this weapon, let alone use it in combat. It combines the heavy striking power of a great hammer with the terrible ripping action of a chain weapon, using multiple rows of spinning metal teeth projecting from the club-like head to tear apart flesh pulped in the smashing impact.","E-AI 29"
"Chainspear","Chainspear","Two-Handed","4+StrB","--","--",2,800,"Rare","Loud, Penetrating (2), Rend (3), Two-Handed","Chainspears combine reach with the signature chain weapon lethality. The end of each has a length of whirring serrated teeth, which are enough to cause even the slightest hit to become a spray of blood and torn flesh when stabbed at an opponent.","E-AI 29"
"Force Dagger","Force Dagger","One-Handed","1+StrB","--","--",0,8,"Exotic","Subtle, Thrown (Short)","Force daggers operate on much the same principle as all force blades but on a smaller scale. Though they lack the reach of a sword, axe, or spear, they are preferable for certain kinds of close quarters encounters in which swinging weapons with wider arcs becomes difficult. Force daggers are also more concealable, thanks to their shorter blades.","E-AI 30"
"Force Hammer 'Moxy Pattern'","Force Hammer 'Moxy Pattern'","Two-Handed","5+StrB","--","--",2,9,"Exotic","Heavy (5), Two-Handed","Not dissimilar to a thunder hammer, these powerful, archeotech weapons can channel a psyker’s inherent might into catastrophic blows that crush anything hit by the hammer’s strike. While indeed powerful, they are unfortunately a lost pattern that can no longer be produced, and any to be found will inevitably be coveted and protected well.","E-AI 30"
"Force Scythe","Force Scythe","Two-Handed","4+StrB","--","--",2,10,"Exotic","Heavy (4), Two-Handed","A morbid and unusual form for a force weapon, force scythes nonetheless are quite effective, as their ability to make sweeping attacks, combined with the edge force weapons provide can be startlingly effective against massed enemies.","E-AI 30"
"Nemesis Daemon Hammer 'Moxy Pattern'","Nemesis Daemon Hammer 'Moxy Pattern'","Two-Handed","6+StrB","--","--",3,"5,000,000","Exotic","Heavy (4), Penetrating (6), Sanctified, Two-Handed","No single weapon encapsulates the Ordo Malleus quite like the nemesis hammer. Each handcrafted weapon is unique in some way, displaying fine artistry and destructive brutality in equal share. Consecrated and warded in a complex series of rituals that take years to complete, it is anathema to the daemonic; a single blow is often enough to send a Daemon screaming back into the Warp.","E-AI 30"
"Armored Gauntlet","Armored Gauntlet","Brawling","1+StrB","--","--",1,20,"Common",,"These simple metallic gloves are worn over the hand to allow a degree of protection and to add to combat damage. Sometimes they include small spikes or cutting edges to further increase the blood shed by each blow.","E-AI 33"
"Bastard Sword","Bastard Sword","One-Handed","3+StrB","--","--",2,360,"Common","Heavy (3)","So-called because the blade falls between the more traditional longsword and the far larger two-handed sword, having a long blade and heavyweight prevents all but the best-trained warriors from wielding it onehanded. To accommodate all users, these weapons feature a longer grip to provide flexibility, giving the wielder the option to use it one or two-handed.","E-AI 33"
"Cavalry Spear","Cavalry Spear","Two-Handed","3+StrB","--","--",2,400,"Common","Reach, Two-Handed","A heavy weapon designed for use as part of a mounted charge, these weapons are used by certain Rough Rider regiments that eschew the traditional hunting lances, preferring something they can use multiple times over the course of an extended encounter. This is a one-handed melee weapon.","E-AI 33"
"Combat Knife","Combat Knife","One-Handed","1+StrB","--","--",0,75,"Scarce",,"While the Departmento Munitorum takes every measure to ensure the compatibility of weapons, ammunition, and equipment, this proves quite infeasible in many cases. The Munitorum requirements for the knife included in a standard kit are broad enough that these weapons often reflect the culture of a regiment’s home world to a greater extent than more technologically advanced gear. Many regiments from feral worlds, death worlds, and other brutal home worlds favor a heavier, broader, or longer blade than more “civilized” worlds. Generically known as warknives or combat knives, some regiments are particularly known for these weapons, as in the case of the Devil’s Fang wielded by the jungle fighters of Catachan, or the “threshers” of the Mortressan Scythewind.","E-AI 33"
"Cosh","Cosh","One-Handed","2+StrB","--","--",0,75,"Common","Inflict (Stunned)","This weapon consists of a short handle attached to a flexible, weighted head that is usually wrapped in soft fiber of some kind. This weapon (also known as a blackjack, smacker, sap, or any of a thousand other colorful local terms) can be dramatically effective in knocking out a suspect if used correctly. If this weapon is used in melee against an opponent that is Surprised, this weapon inflicts the Fatigued condition instead of damage.","E-AI 33"
"Cutlass","Cutlass","One-Handed","2+StrB","--","--",1,40,"Common",,"This short and heavy-bladed weapon is most popular with naval officers and crews, and can be found on feudal worlds throughout the Imperium. Designed for close-quarter fighting, it is a simple weapon, relying on the wielder’s brute strength rather than finesse or skill. When found among officers in the Imperial Navy, cutlasses are enhanced with power fields and other technological improvements.","E-AI 33"
"Falchion","Falchion","One-Handed","3+StrB","--","--",2,45,"Common","Heavy (3)","Combining the best of a sword and axe, these short, heavy blades are ideal for close quarters fighting in boarding parties or when repelling attackers. Similar to but heavier than a cutlass, a falchion offers a more brutal offensive capability as it can hack through tougher materials.","E-AI 33"
"Hunting Lance","Hunting Lance","Two-Handed",12,"--","--",2,500,"Common","Two-Handed","A mainstay weapon amongst the Rough Riders of the Imperial Guard, hunting lances mount a small but powerful explosive charge at the end of a metal spear. On impact, the charge detonates with enough force to rip apart armour and barricades alike, allowing the mounted riders to continue their assault. After a successful attack is made with this weapon, its tip is destroyed, and it is treated as a staff.","E-AI 33"
"Punce Dagger","Punce Dagger","Brawling","2+StrB","--","--",0,400,"Scarce","Subtle","A punch dagger is a simple weapon consisting of a blade mounted onto the hand in a way similar to how brass knuckles are worn. While not as efficient as swords or larger weapons, a punch dagger is an invaluable aid when fighting in confined quarters and tight spaces, where more traditional weapons would prove to be a liability.","E-AI 33"
"Rapier","Rapier","One-Handed","2+StrB","--","--",1,60,"Scarce","Fast",,"E-AI 33"
"Reliquary Sword","Reliquary Sword","One-Handed","2+StrB","--","--",1,1,"Rare","Sanctified",,"E-AI 33"
"Sabre","Sabre","One-Handed","2+StrB","--","--",1,80,"Common",,"A favored weapon of cavalry troops and other mounted warriors, a saber is a sword with a long, curved, single-edged blade. The weapon’s excellent balance allows riders to keep a hand free to control their mounts, and its utility and effectiveness make it a very responsive weapon in skilled hands. Sabers persist in use in far more sophisticated climes and are popular with many Imperial Guard officers and hive nobles, often featuring mono-edge blades and even power field generators to enhance their effectiveness.","E-AI 33"
"Scythe","Scythe","Two-Handed","4+StrB","--","--",2,100,"Common","Two-Handed","Although principally an agri-tool, scythes have a history of “double duty” as weapons. Generally, they are far from practical in this respect, being unwieldy and ineffective against all but the most inexperienced opponents. Instead, scythes find their most common use as props in rituals or to convey a specific image.","E-AI 33"
"Spear","Spear","Two-Handed","3+StrB","--","--",2,120,"Common","Reach, Two-Handed",,"E-AI 33"
"Stiletto","Stiletto","One-Handed","0+StrB","--","--",0,80,"Rare","Fast, Subtle","The Devil’s Kiss is a long narrow blade that is quenched in blood during forging and sharpened only along the last five centimeters, leading to the needlelike tip. In the cities of Landunder, the Devil’s Kiss is also the name of a blade clan notorious for quiet and subtle killing, their victims bleeding out from a single, almost invisible, puncture wound. It is said that unless you are learning the fatal tricks of the clan, you will never see this deadly blade except with your own blood wetting it.","E-AI 33"
"Truncheon","Truncheon","One-Handed","2+StrB","--","--",1,50,"Common","Inflict (Stunned)","Small and easily concealable, these short and heavy sticks of dense wood or metal are often used by press gangs to “sign up” new naval crews with a swift blow to the back of the head.","E-AI 33"
"Extendable Shock Baton","Extendable Shock Baton","One-Handed","2+StrB","--","--",0,150,"Scarce","Loud, Inflict (Stunned)","This weapon expands with a flick of the wrist from a small, easily concealable rod no longer than the width of a hand to a slim eighteen-inch-long club. The weapon contains a tiny shock generator that can generate five Shock discharges before it requires recharging. It is common amongst undercover investigators who wish their quarry to survive interrogation and occasionally find its way into the armories of more secretive organizations like the Inquisition.","E-AI 34"
"Officer's Cutlass","Officer's Cutlass","One-Handed","2+StrB","--","--",1,300,"Scarce","Loud, Inflict (Stunned)",,"E-AI 34"
"Shock Gloves","Shock Gloves","Brawling","1+StrB","--","--",0,150,"Scarce","Loud, Inflict (Stunned)","While most shock weapons use a long pole or whip to strike the target, shock gloves use a heavy (and heavily insulated) gauntlet covered with wiring. On impact the charges jolt the victim with electrical force, making the heavy blow even more painful.","E-AI 34"
"Shock Staff","Shock Staff","Two-Handed","2+StrB","--","--",1,100,"Scarce","Defensive, Loud, Inflict (Stunned)","These are simple plasteel or wooden lengths with a single-setting shock emitter housed in a fixture at the far end, often ornamented into an Imperial or naval icon. These are frequent sights in the low decks, used to encourage indentured slaves and ratings to improve their work. Many press gangs also use shock staves to recruit new crewmen for their ships.","E-AI 34"
"Chainfist","Chainfist","Brawling","6+StrB","--","--",2,5,"Rare","Heavy (4), Loud, Penetrating (6), Rend (4)","A chainfist combines the disruptive energies of a power fist with the rending strength of a chain weapon. The huge gauntlet resembles a power fist with a short reinforced double chainblade extending from the glove. Chainfists were originally designed for use in boarding actions, where they would be used to tear open voidcraft bulkheads or breach even the most redoubtable of barricades.","E-AI 35"
"Ordo Malleus Power Glaive 'Moxy Pattern'","Ordo Malleus Power Glaive 'Moxy Pattern'","Two-Handed","6+StrB","--","--",3,"3,000,000","Exotic","Fast, Penetrating (4), Reach, Sanctified, Two-Handed","Whilst the hammer may be the symbol of the Ordo Malleus, its agents must stand ready to face a variety of foes, some of them too fast for the sluggish swings of a crackling thunder hammer. The power glaive, a weapon longer than a man is tall, features an elegant silver blade and a haft warded against the corrupting influence of the Warp.","E-AI 35"
"Power Blade 'Moxy Pattern'","Power Blade 'Moxy Pattern'","One-Handed","3+StrB","--","--",1,2.5,"Rare","Penetrating (3)","This blade is a small but lethal power weapon that is popular among gang leaders and assassins alike. Sometimes they are also used as a “parrying dagger”, which, upon stopping an opponent’s blade will break it upon the power field.","E-AI 35"
"Power Greatsword","Power Greatsword","Two-Handed","6+StrB","--","--",3,5,"Rare","Heavy (4), Penetrating (6), Two-Handed","While often displayed as a status symbol, these weapons are nonetheless very deadly and effective implements. Though their size makes defending oneself with the weapon’s blade much more difficult than using a more modestly sized power sword, the power greatsword’s destructive capacity and reach more than make up for these shortcomings.","E-AI 35"
"Power Hammer 'Moxy Pattern'","Power Hammer 'Moxy Pattern'","Two-Handed","4+StrB","--","--",1,2,"Rare","Penetrating (4), Two-Handed","While nowhere near as rare and devastating as a true thunder hammer, a power hammer is essentially the next best thing, as it allows its wielder to crush almost anything with titanic blows. Mostly, however, it is used by shipwright crews for hammering in huge plating sections on the hulls of voidships.","E-AI 35"
"Power Longsword","Power Longsword","Two-Handed","5+StrB","--","--",2,4,"Rare","Penetrating (3), Two-Handed",,"E-AI 35"
"Power Pick","Power Pick","Two-Handed","5+StrB","--","--",1,2,"Rare","Penetrating (4), Two-Handed","An industrial tool used for mining super-dense ore deposits, such as adamantine ore, this tool can make a devastating weapon in the right hands as well, piercing any but the thickest of armor with ease.","E-AI 35"
"Power Ram","Power Ram","Two-Handed","5+StrB","--","--",2,3,"Rare","Penetrating (5), Two-Handed","This power ram is a heavy tube with a pair of long handles running down each side of its length. Inside the tube is a potent power field connected to a piston, the head of which is often sculpted to resemble an Imperial Aquila. Usually held by two Arbitrators, who swing it against a door or even a wall, the Power Ram drives the piston forward, surrounded by the flickering energies of the disruption field. The weapon is powerful enough to blow most doors clean off their hinges and is more than capable of knocking holes in solid brick walls in seconds. Although this weapon can theoretically be used in combat, it is not designed for this— its primary use is as an entry device. All Weapon Skill Tests made using the weapon in melee combat are at -20 to represent how bulky it is. However, the ram is assumed to do double damage against inanimate structural objects such as doors and walls. Unless the GM wishes, for dramatic reasons, to prevent a wielder from entering a building, this weapon should allow entry into most normal structures instantly.","E-AI 35"
