Talent,Category,Src,Prerequisites,Brief,Text,ID,Rules
Face in the Crowd,Social,MalExp,Clues from the Crowds talent,When shadowing a target through crowds/gathering: use Fellowship instead Agility on Stealth,"With training, you can ensure no-one notices your presence through careful replication of a crowds mannerisms or even joining gatherings while keeping an eye on your quarry. When making a stealth test to follow an enemy, you use your Fellowship characteristic instead of Agility. ",000147,
Fashionista,Social,MalExp,-,"Gain extra SL to Rapport first time you appear in fancy clothes. Modifier depends or rarity.  Scarce +1, Rare +2, Exotic +3","You remain on the cutting edge of Gothic fashion, delighting in any opportunity to make a memorable entrance. When acquiring Clothing, you gain +SL equal to Rapport tests equal to the value of the rarity of the clothing (+1 for Scarce, +2 for Rare, +3 for Exotic) in situations where your appearance would make a positive impression. You only gain this benefit for a single mission – after that, reappearing in the same outfit provides no bonuses. ",000148,
Spheres of Influence,Social,MalExp,+2 Influence with a Faction,May spend FP to locate a nearby junior member of a Faction you have 2+ Influence and kick off a professional contact,"Your privileged position affords you access to a myriad of contacts that may be able to aid you. At any time, you may spend a Fate Point and nominate a faction you have +2 Influence with. Subject to GM approval, you may detail a junior member of the Faction in your approximate vicinity. This individual does not work for you, but you have a professional relationship, and you know how to contact them. They may help you, if it is not too great an inconvenience or are provided with a powerful incentive. ",000149,
War Cry,General,MalExp,1 Advance in Presence(Intimidation),Spend action: you are source of Fear for all enemy within (auditory) Long Range. Fatigued at end of turn,"At the start of any of your turns, you may declare that you are spending an Action to make a War Cry. All enemies within Long Range treat you as if you are a Source of Fear and must test to not be Frightened provided they can hear you until the start of your next turn. While screaming, you cannot communicate in any other way, and gain the Fatigued Condition at the end of your turn. ",000150,"return (this.actor.itemTypes[""specialisation""].find(i => i.name == ""Intimidation"" && i.system.skill == ""presence"")?.system?.advances >= 1)"
Whispers,Social,MalExp,2 Advances in Rapport(Inquiry),+1SL on Rapport (Inquiry) after a week working in an area or with a Personal Contact,"If you spend a week living in a locale, or having a Personal Contact (pg. 193) that operates in the area, you gain +1SL on Rapport (Inquiry) Tests. ",000151,"return (this.actor.itemTypes[""specialisation""].find(i => i.name == ""Inquiry"" && i.system.skill == ""rapport"")?.system?.advances >= 2)"
Accelerated Repairs,Tech,MalExp,"2 Advances in Tech, 2 Advances in Tech(Engineering)",Rush (repair) Job only takes -10 penalty. Careful Repairs: additional time is only 25% (not 50%),"You may now perform Repair Tests at a swifter rate. When opting to perform a Repair Test as a Rush Job, you suffer a -10 Penalty instead of the normal -30. When electing to make Careful Repairs, you increase the repair time by 25% instead of 50% (a repair that would take 12 hours takes 15 hours instead of the 18 it would normally take with Careful Repairs).",000152,"return this.actor.system.skills.tech.advances >= 2 && (this.actor.itemTypes[""specialisation""].find(i => i.name == ""Engineering"" && i.system.skill == ""tech"")?.system?.advances >= 2)"
Armor-Monger,Tech,MalExp,2 Advances in Tech,Gain IntB armor points you can distribute over your armor locations. Must spent 1h per day on your armor. For you only,"You gain an extra amount of Armor Points equal to your Intelligence Bonus, which you can distribute to any locations that your armor normally covers as long as you spend at least an hour a day to clean and repair it, or make minor modifications. This bonus only applies to armor when you are wearing it. ",000153,return this.actor.system.skills.tech.advances >= 2
Battlefield Tech-Wrigth,Tech,MalExp,"1 Advance in Tech, 1 Advance in Tech(Engineering)","No penalties for Tech/Repair tests due to external distractions, reduce penatlies due to tools/working conditions by 10",You no longer suffer any penalties to Tech or Repair Tests due to external distractions and reduces all penalties from poor tools or working conditions by a total of 10 (so a Hard (-20) Repair Test to fix a tank in a swamp would become Difficult (-10) instead).,000154,"return this.actor.system.skills.tech.advances >= 1 && (this.actor.itemTypes[""specialisation""].find(i => i.name == ""Engineering"" && i.system.skill == ""tech"")?.system?.advances >= 1)"
Rite of Static Overload,Tech,MalExp,"One or more cybernetic limbs, 1 Advance in Tech(Augmetics)","Action: Tech (Augmentics)+0 to give one cybernetic the Inflict (Stunned) quality for IntB rounds, on -4SL or once it ends: cybernetic shuts down and must be repaired Tech(Augmetics)+20","You may make a Challenging (+0) Tech (Augmetics) Test as an Action to channel the energies within one of your cybernetic limbs outwards. If you succeed, for a number of rounds equal to your Intelligence Bonus, your attacks with these limbs (be they unarmed attacks, attacks with an inbuilt weapon, or with a Mechadendrite) gain the Inflict (Stunned) Quality. Once the number of rounds that had been determined are over, or if you had failed the test by -4SL or worse, your cybernetic limbs shut down until you can dedicate several minutes to fixing it with a Routine (+20) Tech (Augmetics) Test.",000155,"return (this.actor.itemTypes[""specialisation""].find(i => i.name == ""Augmetics"" && i.system.skill == ""tech"")?.system?.advances >= 1)"
Telecryptographer,Tech,MalExp,"1 Advance in Lore, 2 Advances in Tech(Security)","+2SL to jam/intercept/decode, may spend action to encrypt allied channels requiring enemies to bypass with SL higher than your IntB","You are a student of informational warfare, as fluent at intercepting enemy communications as guarding your own. You gain +2SL on Tech (Security) tests to jam, intercept, or decode enemy vox traffic (or equivalent). You may also spend an action encrypting allied communications to prevent unauthorized access, which can only be bypassed by the enemy if they score a number of SLs equal to your intelligence bonus.",000156,"return this.actor.system.skills.lore.advances >= 1 && (this.actor.itemTypes[""specialisation""].find(i => i.name == ""Security"" && i.system.skill == ""tech"")?.system?.advances >= 2)"
Weapon-Tech,Tech,MalExp,"Intelligence 40, 1 Advance in Tech(Engineering)",1/Encounter: Free Action: enhance personal Las/Melta/Plasma/Power: increase damage & Penetrating by IntB for 1 round,"Once per encounter as a Free Action, you may enhance any Las, Melta, Plasma, or Power weapon you are personally wielding. This increases the weapons Damage and the Penetrating Quality (if applicable) by an amount equal to your Intelligence Bonus until your next turn.",000157,"return (this.actor.itemTypes[""specialisation""].find(i => i.name == ""Engineering"" && i.system.skill == ""tech"")?.system?.advances >= 1)"
Aegis of the Emperor,Faith,MalExp,Shielding Faith talent,"1/Encounter, spend FP, target ally within Short range: target cannot be affected by Psychic Powers for 1h","It is said that among the oldest invocations of the Emperor’s strength are the three words, “The Emperor Protects.” Once per encounter, you may spend a Fate Point on an ally within Short Range. This ally cannot be targeted by Psychic Powers for 1 Hour.",000158,
Blazing Exemplar,Faith,MalExp,1 Advance in Presence(Leadership),On success Presence (Leadership): allies weapon gain Penetrating +1 for one round,"When you make a successful Presence (Leadership) Test, you may give all allies weapons the Penetrating (+1) Quality on all their attacks made until your next turn",000159,"return (this.actor.itemTypes[""specialisation""].find(i => i.name == ""Leadership"" && i.system.skill == ""presence"")?.system?.advances >= 1)"
Blessed Martyrdom,Faith,MalExp,Faithful (Imperial Cult) talent,"On burn Fate to survice: witnessing allies regain 1 FP. If you die in battle, every ally fully recovers his FP","Whenever you burn Fate to survive a mortal blow, each other friendly character who witnesses this miraculous survival regains 1 spent Fate Point. When you die in battle, each other friendly character who witnesses your glorious demise regains all spent Fate Points.",000160,
Blessing of Flame,Faith,MalExp,"2 Advances in Lore(Theology), Faithful (Imperial Cult) talent ",Action to bless a weapon: Lore (Theology)+0 untile end of combat (or Mag is depleted). Weapon gains Inflict(Ablaze) & Sanctified. Ablazes demons on hit even without damage,"As an Action, you may make a Challenging (+0) Lore (Theology) Test to bless a single weapon with the Inflict (Ablaze), and Sanctified Qualities. A weapon so blessed sets Daemons Ablaze when it strikes them, even without dealing damage, and retains these Qualities until the end of Combat or until its Mag is depleted (if it has one). ",000161,"return (this.actor.itemTypes[""specialisation""].find(i => i.name == ""Theology), Faithful (Imperial Cult"" && i.system.skill == ""lore"")?.system?.advances >= 2)"
Bolstering Purity,Faith,MalExp,Do Not Falter! talent,"1/mission, Reaction, Spend 1FP: let any ally within hearing range including self auto-pass Fear/Intimidation/Pinning for one round","Once per mission as a Reaction, you can spend a Fate Point to have one Imperial ally within hearing range – including yourself – to automatically pass all Fear, Pinning, and Intimidation tests until the end of the round. ",000162,
Brimstone Rhetoric,Faith,MalExp,"Faithful (Imperial Cult) Talent, 1 Advance in Presence(Leadership) and 1 Advance in Presence(Intimidation)",On ally/self within Medium range deals Critical that deals damage: reroll keep better d10 to determine hit table result,"Whenever an ally (including yourself) within Medium Range inflicts a Critical Hit on an enemy with an attack that causes Damage, you may roll an additional 1d10 on the appropriate Critical Hit Table and discard the lowest result. ",000163,"return (this.actor.itemTypes[""specialisation""].find(i => i.name == ""Leadership) and 1 Advance in Presence(Intimidation"" && i.system.skill == ""presence"")?.system?.advances >= 1) && this.actor.itemTypes[""talent""].find(i => i.name == ""Faithful(Imperial Cult)"")"
Bulwark of the Faith,Faith,MalExp,Faithful (Imperial Cult) Talent,"On success, resisting Daemon fear: demon suffer damage=your SL (ignore armor)","Whenever you pass a test to not be Frightened from a Daemonic entity, the Daemon suffers 1 Damage ignoring armor for each Success Level on the test. ",000164,"return this.actor.itemTypes[""talent""].find(i => i.name == ""Faithful(Imperial Cult)"")"
Ceaseless Crusader,Faith,MalExp,"Faithful (Imperial Cult) Talent, 2 Advances in Discipline ",May spend FP as free anytime action to remove Fatigue from self and all allies within Medium range. You are immune to it until end of combat,"As an any-time Free Action, you may spend a Fate Point to ignore the effects of Fatigue until the end of the encounter. When you do so, each other friendly character within Medium Range removes the Fatigued condition as well if they had it. ",000165,"return this.actor.system.skills.discipline.advances >= 2 && this.actor.itemTypes[""talent""].find(i => i.name == ""Faithful(Imperial Cult)"")"
Cleanse with Fire,Faith,MalExp,"Faithful (Imperial Cult) Talent, 2 Advances in Ranged",Add WilB/2 to any flamer damage,"When attacking with a weapon with the Flamer Trait, you may add half your Willpower Bonus (rounding up) to your Damage. ",000166,"return this.actor.system.skills.ranged.advances >= 2 && this.actor.itemTypes[""talent""].find(i => i.name == ""Faithful(Imperial Cult)"")"
Confessor,Faith,MalExp,Faithful (Imperial Cult) Talent,On ally reduces corruption gained: reduce one more,"Whenever a Character in the group would reduce Corruption, they may reduce the amount of Corruption by an additional point.",000167,"return this.actor.itemTypes[""talent""].find(i => i.name == ""Faithful(Imperial Cult)"")"
Curate,Faith,MalExp,Divine Vengeance Talent,May pass on FP gained from Divine Vengeance to an ally within Medium range. Is lost if not used after combat,"When you would gain a Fate Point from the Divine Vengeance talent, you may give it to any other ally (aside from yourself) within Medium Range. This temporary Fate Point may be spent as normal, but may not be burned. If it is not spent by the end of the encounter, it is lost. ",000168,"return this.actor.itemTypes[""talent""].find(i => i.name == ""Divine Vengeance"")"
Divine Guidance,Faith,MalExp,"Faithful (Imperial Cult) Talent, 2 Advances in Ranged","Action, spend FP to gain imperial ally within hearing range: +2SL on Ranged attacks for 1 round","As an action, you may spend a Fate Point to grant one Imperial ally within hearing range +2 SL to Ranged Attacks for 1 Round. ",000169,"return this.actor.system.skills.ranged.advances >= 2 && this.actor.itemTypes[""talent""].find(i => i.name == ""Faithful(Imperial Cult)"")"
Divine Ministrations,Faith,MalExp,"Faithful (Imperial Cult) Talent, 1 Advance in Medicae",On Medicae to heal: restore WpB wounds OR spend FP to remove Fatigue from 2xWpB characters,"When you are testing Medicae, you may spend a Fate Point to restore an amount of Damage equal to your Willpower Bonus instead of the normal amount. You may also spend a Fate Point to remove all fatigue from a number of people equal to twice your Willpower Bonus. ",000170,"return this.actor.system.skills.medicae.advances >= 1 && this.actor.itemTypes[""talent""].find(i => i.name == ""Faithful(Imperial Cult)"")"
Divine Protection,Faith,MalExp,"Faithful (Imperial Cult) Talent, 1 Advance in Discipline and 2 Advances in Ranged",Spread attacks only hits enemies,"Those who hunt the witch and mutant prefer to use cleansing fire to purify their unclean enemies, using it even when allies are in the line of fire, yet miraculously leaving them unaffected. When you attack using a weapon with the Spread quality, it only strikes enemies within the area of effect; the attack does not harm allies.  ",000171,"return this.actor.system.skills.discipline.advances >= 1 && this.actor.system.skills.ranged.advances >= 2 && this.actor.itemTypes[""talent""].find(i => i.name == ""Faithful(Imperial Cult)"")"
Discipline of the Holy Trinity,Faith,MalExp,"Faithful (Imperial Cult) Talent, must be a Sororitas OR have +2 influence with them","+1SL on Ranged Attacks using Bolt, Flamer, or Melta","The Sisters of Battle venerate the Holy Trinity of Bolter, Flamer, and Melta above all other weapons. You gain +1SL on Ranged Attacks using Bolt, Flamer, or Melta weapons. ",000172,"return this.actor.itemTypes[""talent""].find(i => i.name == ""Faithful(Imperial Cult)"")"
Divine Vengeance,Faith,MalExp,"Faithful (Imperial Cult) Talent, 2 Advances in Ranged or 2 Advances in Melee",First crit in combat: regain one FP,"The first time in a combat encounter that you inflict a Critical hit upon an enemy, you regain 1 spent Fate Point. ",000173,"return this.actor.system.skills.ranged.advances >= 2 && this.actor.system.skills.melee.advances >= 2 && this.actor.itemTypes[""talent""].find(i => i.name == ""Faithful(Imperial Cult)"")"
Do not Falter!,Faith,MalExp,"Faithful (Imperial Cult) Talent, 1 Advance in Presence(Leadership)",Test Presence (Leadership) to give allies within Medium range +2SL against Fear/Pinning/Mind-Altering Psychic Powers until end of your next turn,"You may make a Presence (Leadership) Test to give allies within Medium Range an additional +2SL Bonus to Tests made to resist the effects of Fear, Pinning, and mind-altering psychic powers until the end of your next turn",000174,"return (this.actor.itemTypes[""specialisation""].find(i => i.name == ""Leadership"" && i.system.skill == ""presence"")?.system?.advances >= 1) && this.actor.itemTypes[""talent""].find(i => i.name == ""Faithful(Imperial Cult)"")"
Emperor's Guidance,Faith,MalExp,"Faithful (Imperial Cult) Talent, 1 Advance in Ranged",Anytime-Free action: spend FP to increase Penetrating+2 until end of next turn,"As an any-time Free Action, you may spend a Fate Point to increase the quality of the Penetrating Trait of your weapon by +2 until the end of your next turn. ",000175,"return this.actor.system.skills.ranged.advances >= 1 && this.actor.itemTypes[""talent""].find(i => i.name == ""Faithful(Imperial Cult)"")"
Furious Zeal,Faith,MalExp,"Hatred Talent, Faithful (Imperial Cult) Talent",+2 damage against hated enemies in melee,You may add +2 Damage to any melee attacks you inflict against targets included in your Hatred talent.,000176,"return this.actor.itemTypes[""talent""].find(i => i.name == ""Hatred"") && this.actor.itemTypes[""talent""].find(i => i.name == ""Faithful(Imperial Cult)"")"
In HIS Name!,Faith,MalExp,"Faithful (Imperial Cult) Talent, 1 Advance in Lore(Theology) ",On Rapport(Charm)/Presence(Leadership) with imperials: spend FP to gain Advantage,You have spent time studying the holy writings of the Cult Imperialis and can invoke hallowed passages to sway others. You may spend a Fate Point to gain Advantage when making a Rapport (Charm) or Presence (Leadership) Test when interacting with an Imperial.,000177,"return (this.actor.itemTypes[""specialisation""].find(i => i.name == ""Theology"" && i.system.skill == ""lore"")?.system?.advances >= 1) && this.actor.itemTypes[""talent""].find(i => i.name == ""Faithful(Imperial Cult)"")"
Instrument of HIS Will,Faith,MalExp,"Faithful (Imperial Cult) Talent, 3 Advances in Discipline(Psychic)",On Hit against Demon: spend FP to increase (first) damage by 2xWpB (ignoring armor),"You strike down the daemonic with holy fury, your blows landing as if guided by the hand of the Emperor Himself. After making a successful attack against a Daemon (including psychic powers), you may spend a Fate Point to increase the damage of the first hit you inflict by an amount equal to twice your Willpower bonus. This additional damage ignores armor. ",000178,"return (this.actor.itemTypes[""specialisation""].find(i => i.name == ""Psychic"" && i.system.skill == ""discipline"")?.system?.advances >= 3) && this.actor.itemTypes[""talent""].find(i => i.name == ""Faithful(Imperial Cult)"")"
Litany of Condemnation,Faith,MalExp,"Faithful (Imperial Cult) Talent, 2 Advances in Presence",On Presence to counter presence of Demons/Mutants/Warp Phenomenon: +2SL,"You score an additional +2SL whenever you succeed on a Presence Test to counteract the presence of Daemons, mutants, and the unnatural effects of the Warp. ",000179,"return this.actor.system.skills.presence.advances >= 2 && this.actor.itemTypes[""talent""].find(i => i.name == ""Faithful(Imperial Cult)"")"
Martyr's Gift,Faith,MalExp,Faithful (Imperial Cult) Talent,Anytime-Free action: spend FP to gain WpB/2 extra armor until your next turn,"As an any-time Free Action, you may spend a Fate Point to gain additional Armor Points on all locations equal to half your Willpower Bonus (rounding up) until the start of your next turn. ",000180,"return this.actor.itemTypes[""talent""].find(i => i.name == ""Faithful(Imperial Cult)"")"
Purge the Unclean,Faith,MalExp,"Faithful (Imperial Cult) Talent, 4 Advances in Lore(Theology), Willpower 50",Exorcise a possessed target or repell a warp entity: opposed Lore(Theology) vs Discipline. on success: entity must leave host and cannot repossess for WpBx2h. Roaming entities are repelled WpB/2 zones and cannot approach further for 2d5 rounds,"As an action, you may spend a Fate Point to intone holy words to repel a warp entity. Make an Opposed Challenging (+0) Lore (Theology) Test against the warp entity’s Discipline. If the test succeeds, the Warp Entity is repelled a number of zones away equal to half your Willpower Bonus (rounded up). It cannot approach closer than this distance for 2d5 rounds. You may also spend a Fate Point to speak the rites of Exorcism and force out a possessing warp entity from its host. The same test as before, if you succeed, the Warp Entity is driven out of whatever or whoever it possessed and manifests in the same Zone as its former host. It may not possess the same host again for a number of hours equal to twice your character’s Willpower Bonus.",000181,"return (this.actor.itemTypes[""specialisation""].find(i => i.name == ""Theology"" && i.system.skill == ""lore"")?.system?.advances >= 4) && this.actor.itemTypes[""talent""].find(i => i.name == ""Faithful(Imperial Cult)"")"
Shielding Faith,Faith,MalExp,"Faithful (Imperial Cult) Talent, Emperor’s Aegis",On Deny the Witch: spend FP to auto-succeed with WpB SL. Target must test against being Frightened,"When attempting to Deny The Witch, you may spend a Fate Point to automatically pass the test with a number of Success Levels equal to your Willpower Bonus. If you do so, the Psyker must immediately test against being Frightened.",000182,"return this.actor.itemTypes[""talent""].find(i => i.name == ""Faithful(Imperial Cult)"")"
Strength of the Creed,Faith,MalExp,"Faithful (Imperial Cult) Talent, 2 Advances in Lore(Theology)",On spend FP to gain SL: gain 2SL total (instead 1),"Whenever you spend a Fate Point to gain +1SL, you gain an additional SL instead (for +2SL total). ",000183,"return (this.actor.itemTypes[""specialisation""].find(i => i.name == ""Theology"" && i.system.skill == ""lore"")?.system?.advances >= 2) && this.actor.itemTypes[""talent""].find(i => i.name == ""Faithful(Imperial Cult)"")"
Suffer not the Works of Heretics,Faith,MalExp,"Faithful (Imperial Cult) Talent, Hatred Talent",On attack Hated target: add WpB/2 to melee Penetrating. Is shared when using Inspire Wrath (using your WpB),"When attacking an enemy for whom you possess the appropriate Hatred Talent, or a vehicle, structure, or object crafted by such an enemy, increase the Penetrating quality of all melee attacks by an amount equal to half your Willpower Bonus. If you possess the Inspire Wrath Talent, you pass the benefit along with any Hatred Talents when using it. Characters so affected gain benefits based on the Willpower Bonus of the character that inspired them. ",000184,"return this.actor.itemTypes[""talent""].find(i => i.name == ""Faithful(Imperial Cult)"") && this.actor.itemTypes[""talent""].find(i => i.name == ""Hatred"")"
Unshakeable Faith,Faith,MalExp,1 Advance in Discipline,Reroll failed Discipline checks vs Fear,People’s faith in the Emperor and his abilities is so strong that they can face any danger. The character may re-roll any failed Discipline Tests to avoid the effects of Fear.,000185,return this.actor.system.skills.discipline.advances >= 1
Urge the Penitent,Faith,MalExp,"Faithful (Imperial Cult) Talent, 1 Advance in Presence(Leadership)",When reroll with FP: gain an extra +10 on the reroll. May share this ebenfit with an ally within sight&communication range as reaction,You gain a +1SL Bonus whenever you re-roll a Test with a Fate Point after failing your initial attempt. You may spend a Reaction to pass this benefit to any ally spending Fate Points to re-roll a Test as long as the ally is within line of sight and communications range.,000186,"return (this.actor.itemTypes[""specialisation""].find(i => i.name == ""Leadership"" && i.system.skill == ""presence"")?.system?.advances >= 1) && this.actor.itemTypes[""talent""].find(i => i.name == ""Faithful(Imperial Cult)"")"
Binaric Chatter,Mechanicus,MalExp,-,+1SL to communicate/command servitors/servo-skulls etc,"You receive a +1SL Bonus to any attempt to communicate with or command servitors, servo-skulls, or machine constructs.",000187,
Faithful (Cult Mechanicus),Mechanicus,MalExp,Member of AdMech OR +2 Influence with them OR 2 Advances in Lore (Forbidden. Cult Mechanicus),1/session: add IntB SL making a test related to Machine Cult,"You are a true believer of the Cult Mechanicus, a follower of the teachings of the Forge Worlds and placing yourself in the service of the Omnissiah. You are capable of manifesting your faith as a light in the darkness of the 41st Millennium. This power can be used to further the Quest for Knowledge, but if it is misused, the Machine God’s followers will punish your treachery. Once per session, you may add your Intelligence Bonus in SL when you are making a Test related to your faith. Examples: \n- When interrogating a suspected heretek, invoke the Omnissiah’s judgement to gain SL equal to your Intelligence Bonus on a Presence (Intimidation) Test. \n- If you are righteously striking down a foul xenos creature or a heretek, you can scream a benediction of the Machine God’s fury to gain SL equal to your Intelligence Bonus on your next attack.\n- If you are attempting to recall information or locate a particular sacred text, you can make a prayer to the Omnissiah to gain SL equal to your Intelligence Bonus on your Lore (Forbidden – Cult Mechanicus) Test. \n- If you are attempting to cleanse a corrupt Machine Spirit, or interfacing with a cogitator that has been tainted, you utter the rites of cleansing to gain SL equal to your Intelligence Bonus on your Tech (Security) Test.",000188,return this.actor.system.skills.lore.advances >= 2
Feedback Screech,Mechanicus,MalExp,-,Action: every unprotected creature within Medium range (and hearing): Discipline+0 or get Stunned,"As an Action, you can force all unprotected creatures within Medium Range who have the ability to hear must make a successful Challenging (+0) Discipline Test or become Stunned on their next turn as they involuntarily react to the cacophonous shriek.",000189,
Heart of Iron,Mechanicus,MalExp,2 Advances in Logic,May use Intelligence for Social tests (instead Fellowship),You may substitute your Intelligence Characteristic for any Social Test that would be based on Fellowship.,000190,return this.actor.system.skills.logic.advances >= 2
Logis Implant,Mechanicus,MalExp,-,May re-roll a Ranged or Meele test as reaction but become Fatigued,"You may spend your Reaction to re-roll a failed Ranged or Melee Test. However, you become Fatigued.",000191,
Mechadendrite Fighter,Mechanicus,MalExp,-,Extra Reaction. Can only be used to attack with Mechadendrite,You gain an additional Reaction that may only be used to attack with a Mechadendrite.,000192,
Potentia Coil Induction,Mechanicus,MalExp,-,"When: close to power source: Can remove Fatigue with a Fortitude check. Minor = +10, Major (-10)","When you are in the presence of a suitable power source, such as a portable generator or the power plant of a vehicle, you may make an Ordinary (+10) Fortitude Test as an Action and remove the Fatigued (Minor) Condition. You may make a Difficult (-10) Fortitude Test to remove the Fatigued (Major) Condition. ",000193,
Rad-Saturated,Mechanicus,MalExp,Must be Admech,When Engaged: enemy must test Fortitude (Encurance) -10 or suffer Irradicated,"You have exposed yourself to semi-lethal quantities of radiation, sacrificing your lifespan to better serve as the Omnissiah’s deadly assailant. Whenever a creature enters Engagement with you or starts a turn Engaged with you, they must make a Difficult (-10) Fortitude (Endurance) Test or suffer the Irradiated Condition (Weapons of the Mechanicus pg. 2) ",000194,
Reclamator,Mechanicus,MalExp,1 Advance in Tech(Engineering),Requistion item with 1-step reduced scarcity (min: Common) but it is damaged and needs repairing (8+h extended Engineering task). Illegel if your not Admech,"You have access to a reliable supply of broken or damaged technology, and can reassemble it yourself at half the cost. When you requisition items, you can choose to reduce the Rarity by one level (to a minimum of Common). However, if you do so, the item cannot be used until you repair it. You must undertake an 8-hour minimum Extended Tech Engineering) Test with a difficulty according to the table in the Crafting Endeavor (pg. 233) – but you are not required to actually take the endeavor to undertake the repairs. If you are not a member of the Adeptus Mechanicus, this activity is considered illegal, a violation of both the Lex Imperialis and the Treaty of Mars. ",000195,"return (this.actor.itemTypes[""specialisation""].find(i => i.name == ""Engineering"" && i.system.skill == ""tech"")?.system?.advances >= 1)"
Rite of Awe,Mechanicus,MalExp,-,All humans within Long Range: test Discipline+0 test or have Disadvantage to next Skill test. Only augmented hearing can detect this,"All humans, regardless of their ability to hear, within Long Range feel a sense of dread and suffer Disadvantage on their next Skill Test. Characters may ignore these effects with a Challenging (+0) Discipline Test. Whilst incanting the rite, you become unable to talk or communicate with others. Humans without auditory implants cannot hear infrasonic sound, and though are still affected, will not know you are speaking.",000196,
Rite of Fear,Mechanicus,MalExp,Rite of Awe talent,All humans within Long Range: test Discipline+0 test become frightened of you. Only augmented hearing can detect this,"All humans, regardless of their ability to hear, within Long Range must test to avoid the Frightened Condition towards you. Whilst incanting the rite, you become unable to talk or communicate with others. Humans without auditory implants cannot hear infrasonic sound, and though are still affected, will not know you are speaking. ",000197,
Rite of Pure Thought,Mechanicus,MalExp,2 Advances in Lore(Cult Mechanicus) or Discipline,Immune to Pinning or other emotional-based influence. You come accross quite cold,"You no longer feel emotion, and instead embrace the crystal-clear purity of logic, making you immune to pinning and under effects that stem from emotional disturbance. Your compatriots may find you somewhat cold, though other followers of the Omnissiah will rejoice in your newfound freedom. ",000198,"return (this.actor.itemTypes[""specialisation""].find(i => i.name == ""Cult Mechanicus"" && i.system.skill == ""lore"")?.system?.advances >= 2)"
Rite of Shroudpsalm,Mechanicus,MalExp,"Must be AdMech, 2 Advances in Stealth",Free action (de-)activate: you do not register on scanning/recording equipment. Any gear/equipment providing boni to Awareness do not work on you,"You are implanted with noospheric negators, electromagnetic disrupters, and stealth screen projectors, all designed to interfere with enemy surveillance equipment. You may activate or deactivate the effects of this talent as a Free Action. While active, you do not register on auspices, pict-thieves, monoscopes, or other forms of scanning or recording equipment. Anyone attempting to identify your presence use their unmodified Awareness, without bonuses for gear or equipment. ",000199,return this.actor.system.skills.stealth.advances >= 2
Rite of Voltagheist,Mechanicus,MalExp,Must be Admech,"On melee hit against you: inflict 5 woundsOn Fumble against you: 5 damage, Inflict(Stunned, Prone)","Either the Corpuscarii or the Fulgurite Electro-Priesthoods have implanted electoo circuitry into your body, channeling the motive force that flows through you to protect you from enemies of the Omnissiah. Whenever you are hit by a Melee Attack, or a Fumble is rolled on a Melee Attack that targets you, you inflict 5 Damage to your attacker. In addition, your attacker suffers the effects of the Stunned Condition, and suffers from the Prone Condition if they suffer a Fumble. ",000200,
Rite of Synchronized Steel,Mechanicus,MalExp,"Must have MIU/VIC implant, 1 Advance in Piloting",When MIU/VIC linked to vehicle:use Intelligence instead Agility for Piloting,"While linked to a vehicle with your MIU or VIC implant, you may use your Intelligence characteristic instead of Agility for the Piloting Skill. This may not be used with jump packs or similar devices. ",000201,return this.actor.system.skills.piloting.advances >= 1
"Stir, Spirits of Iron",Mechanicus,MalExp,Rite of Synchronized Steel Talent,"When MIU/VIC linked to vehicle, 1/encounter: may Tech-20 test, on success either grant Maneuverable trait OR increase one vehicle weapon damage by IntB. Both last IntB rounds.","While linked to a vehicle with your MIU or VIC implant, you can call upon it to enhance one of the vehicles systems. You must make a Hard (-20) Tech Test, if you succeed, you can either boost the vehicles engines and grant it the Maneuverable trait or overcharge one of its weapons by increasing one of the vehicles weapons damages by your Intelligence Bonus. These effects last for a number of rounds equal to your Intelligence Bonus and may only be done once per encounter",000202,"return this.actor.itemTypes[""talent""].find(i => i.name == ""Rite of Synchronized Steel"")"
Vitality Coils,Mechanicus,MalExp,"2 Advances in Fortitude, Potentia Coil Induction Talent","1/session, needs power source, Action: Fortitude+0 check to heal SL+IntB wounds. Cannot remove critical wounds. On fail: suffer SL damage","Once per session, when in the presence of a suitable power source such as a portable generator or the power plant of a vehicle, you may make a Challenging (+0) Fortitude Test as an action. If you succeed, you may heal a number of wounds equal to your success levels, plus your Intelligence Bonus. You cannot remove Critical Wounds this way, and if you fail the test, you suffer damage equal to your negative success levels. ",000203,"return this.actor.system.skills.fortitude.advances >= 2 && this.actor.itemTypes[""talent""].find(i => i.name == ""Potentia Coil Induction"")"
Anophobic,Psyker,MalExp,Sanctioned Psyker Talent,Can re-roll tests to resist Frightened,"Your time on Terra changed your persona forever. Whatever the cause, psykers like you are left viewing the galaxy differently from the common man. After the sanctioning ritual, what fear can come close to that experience? You can re-roll tests to resist the Frightened Condition. ",000204,"return this.actor.itemTypes[""talent""].find(i => i.name == ""Sanctioned Psyker"")"
